"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID"
"ILMN_1756755",-281.1318,459.070888888889,-10.7811157291168,1.49259920186135e-05,0.0202076629287889,-4.47569443315573,"LINGO1","leucine rich repeat and Ig domain containing 1","84894"
"ILMN_1757552",-748.8983,1024.68652222222,-14.219570954622,2.40023845900069e-06,0.0105339317991833,-4.47228073558764,"CAVIN1","caveolae associated protein 1","284119"
"ILMN_1766054",-1226.05933333333,1776.35933333333,-13.4007766665924,3.56154319859123e-06,0.0105339317991833,-4.47287388923965,"ABCA1","ATP binding cassette subfamily A member 1","19"
"ILMN_1771084",3260.542,8010.941,13.928144049752,2.75528239307105e-06,0.0105339317991833,-4.47248045535216,"ACSM3","acyl-CoA synthetase medium chain family member 3","6296"
"ILMN_1775330",-2959.34666666667,6409.53244444444,-10.9765843754389,1.32731289444549e-05,0.019034069122377,-4.47541729376122,"CCDC9B","coiled-coil domain containing 9B","388115"
"ILMN_1775584",1471.87,2573.94322222222,10.6981783569675,1.56971940207502e-05,0.0206343975734433,-4.47581628676596,NA,NA,NA
"ILMN_1795190",-219.293666666667,348.9392,-10.7789527645339,1.49455487291087e-05,0.0202076629287889,-4.4756975780635,"CLDN2","claudin 2","9075"
"ILMN_1798006",-492.265733333333,639.888088888889,-10.0178085170818,2.40588561988235e-05,0.0247508098238462,-4.47692295549319,"ANKRD35","ankyrin repeat domain 35","148741"
"ILMN_1798940",450.386366666667,1104.50984444444,14.7803783330857,1.8541727914048e-06,0.0105339317991833,-4.47192773861808,"CCT8","chaperonin containing TCP1 subunit 8","10694"
"ILMN_1806710",-524.790433333334,494.879422222222,-29.8820016873852,1.5842478731502e-08,0.000374856810505434,-4.46852473355175,"ESPN","espin","83715"
"ILMN_1809292",349.686666666667,1186.44155555556,10.3350466593611,1.96538105894026e-05,0.0237381095359896,-4.47638196802963,"IMMP2L","inner mitochondrial membrane peptidase subunit 2","83943"
"ILMN_1816342",1233.34366666667,2762.89377777778,11.2096807171197,1.15679025589585e-05,0.0182475950932531,-4.47510423779531,"MTRNR2L1","MT-RNR2 like 1 (pseudogene)","100462977"
"ILMN_2054297",6657.71033333334,5037.34955555556,14.1678145018733,2.45928936508199e-06,0.0105339317991833,-4.47231534756119,"PTGS2","prostaglandin-endoperoxide synthase 2","5743"
"ILMN_2077952",-1041.33396666667,689.5849,-11.9992924655304,7.39667399510408e-06,0.0159105819759232,-4.47416753423007,"GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","57452"
"ILMN_2087702",-6956.28,23189.0477777778,-9.86830840725746,2.65169644998722e-05,0.0253479423745312,-4.4771945556367,"MYH9","myosin heavy chain 9","4627"
"ILMN_2111187",-3070.52233333333,3500.161,-47.6216699729313,6.55069430145159e-10,3.09998506427593e-05,-4.46783722303952,"ELOVL6","ELOVL fatty acid elongase 6","79071"
"ILMN_2137208",663.6542,1225.83048888889,12.2129121008562,6.58428688671919e-06,0.0155794104170106,-4.47394294975925,"GOLT1A","golgi transport 1A","127845"
"ILMN_2145670",-456.845766666667,1088.17158888889,-17.2273879230883,6.63753009665261e-07,0.00785269591909729,-4.47075705626286,"TNC","tenascin C","3371"
"ILMN_2286987",-104.2523,283.548488888889,-11.1223726072381,1.21755806919823e-05,0.0184808086705545,-4.47521935660603,"BTBD17","BTB domain containing 17","388419"
"ILMN_2325185",182.7979,673.097322222222,11.6071963608779,9.2038374074873e-06,0.0173065480029828,-4.47461036024461,"TYSND1","trypsin like peroxisomal matrix peptidase 1","219743"
"ILMN_2391264",1250.09533333333,4823.23444444444,15.8340423551337,1.16952461660656e-06,0.00979090746269263,-4.47135941248949,"DMKN","dermokine","93099"
"ILMN_2395451",-4450.32,6222.00666666667,-9.82538914855296,2.72745378198171e-05,0.0253479423745312,-4.47727462123127,"ASS1","argininosuccinate synthase 1","445"
"ILMN_2414399",874.234,2292.78522222222,10.3268829173451,1.97549808985402e-05,0.0237381095359896,-4.47639531908421,"NME1","NME/NM23 nucleoside diphosphate kinase 1","4830"
"ILMN_3199955",727.010666666667,1680.255,12.3598667268537,6.08443527281735e-06,0.0151544068639756,-4.47379477164614,"EIF4B","eukaryotic translation initiation factor 4B","1975"
"ILMN_3241522",-298.0465,671.311388888889,-9.7632399041224,2.8415553605804e-05,0.0253479423745312,-4.47739226648876,"ASS1","argininosuccinate synthase 1","445"
"ILMN_3245564",302.652266666667,1143.14457777778,11.2405342138452,1.13614732437699e-05,0.0182475950932531,-4.47506415155148,"ARHGAP44","Rho GTPase activating protein 44","9912"
"ILMN_3305397",1179.06333333333,2171.05344444444,12.5028036958029,5.63934530729827e-06,0.0148261521098487,-4.47365534195213,"RPL7","ribosomal protein L7","6129"
